11,0,12,21,0,Start
12,0,13,22,11,Empty
13,0,14,23,12,Empty
14,0,15,24,13,Empty
15,0,16,25,14,Empty
16,0,0,26,15,Empty
21,11,22,31,0,Empty
22,12,23,32,21,Empty
23,13,24,33,22,Empty
24,14,25,34,23,Empty
25,15,26,35,24,Empty
26,16,0,36,25,Empty
31,21,32,41,0,Empty
32,22,33,42,31,Empty
33,23,34,43,32,Empty
34,24,35,44,33,Empty
35,25,36,45,34,Empty
36,26,0,46,35,Empty
41,31,42,51,0,Empty
42,32,43,52,41,Empty
43,33,44,53,42,Empty
44,34,45,54,43,Empty
45,35,46,55,44,Empty
46,36,0,56,45,Empty
51,41,52,61,0,Empty
52,42,53,62,51,Empty
53,43,54,63,52,Empty
54,44,55,64,53,Empty
55,45,56,65,54,Empty
56,46,0,66,55,Empty
61,51,62,0,0,Empty
62,52,63,0,61,Empty
63,53,64,0,62,Empty
64,54,65,0,63,Empty
65,55,66,0,64,Empty
66,56,0,103,65,Product
